base_slice,threads,task_clock_cpu_utilized,task_clock_time_ms,context_switches,cpu_migrations,page_faults,cycles,stalled_cycles_frontend,stalled_cycles_backend,stalled_cycles_per_insn,instructions,branches,branch_misses,seconds_time_elapsed,seconds_user,seconds_sys,records
12ms,520,103.00640000000001,3134374.9799999995,155720.2,14860.4,2907.6,9527881549154.6,350415478351.2,6542437469574.0,1.8960000000000001,3452698771491.0,485288972745.0,10741760278.2,30.428998776000004,3133.1538204000003,11.3778562,84846696.8
12ms,624,103.0522,3139650.012,157772.6,11606.2,3366.4,9538423972723.2,350557917472.8,6556275792925.4,1.9,3450948749524.4,485331707679.6,10732113506.4,30.4665281566,3137.9303081999997,10.3021688,84783973.2
12ms,728,103.3714,3163473.922,161480.4,8904.8,3351.4,9610112772442.2,353064452078.0,6617803091760.8,1.9120000000000001,3458427589290.6,488004968079.4,10727834323.2,30.603301572600003,3161.3529412,10.461249599999999,84788621.2
12ms,832,102.7666,3176051.2739999997,161168.4,9810.2,3444.4,9646323645118.6,355791406380.2,6641887519770.6,1.9120000000000001,3472263378775.4,491321102706.6,10772107565.2,30.905493137999997,3173.8462406000003,20.748189599999996,84999258.8
12ms,936,102.6748,3179502.54,3061881.6,146815.0,3582.4,9645016286803.4,405100898250.8,6485158166253.8,1.802,3598491034021.8,510071084252.4,11812521010.2,30.9669448574,3059.9609172,146.5104862,85268078.2
12ms,1040,102.8536,3202335.624,5086137.8,378376.2,3641.2,9704596929454.4,416363824202.6,6426865564884.8,1.7399999999999998,3700772905785.6,539801301268.6,11800776043.2,31.135680985,2974.066591,246.4074024,84499615.8
12ms,1144,102.63200000000002,3214863.044,10376600.2,854987.8,3721.6,9722980683184.2,469237293702.2,6252031722021.6,1.6440000000000001,3813611423294.8,576743039806.4,12046932499.4,31.324942803,2755.0505340000004,483.8101288000001,81555897.8
12ms,1248,102.85220000000001,3273358.804,6331364.2,742588.0,3636.0,9914449952033.6,398363715751.0,6057317130116.2,1.4220000000000002,4281455224187.4,691138815170.2,11641804021.0,31.825968675000002,2721.6196364,572.0956666000001,84360379.6
15ms,104,103.0076,3093797.964,4343.8,207.6,1016.8,9417749528100.2,346069981196.8,6441613895502.6,1.8699999999999999,3447345942990.6,482183145468.4,10736535512.8,30.0345567962,3093.628674,0.357972,84838109.8
15ms,208,103.00359999999998,3102196.0100000002,115946.4,8759.6,1711.2,9439188682207.4,347503709183.4,6463679041124.2,1.876,3443844570710.2,482134622795.0,10728976414.8,30.117420725400002,3102.0030653999997,3.7712812,84740718.6
15ms,312,102.67439999999999,3099605.992,140368.8,7535.0,2438.4,9427460864664.6,346762752791.8,6458044767525.8,1.8739999999999999,3443779316093.8,482282282851.4,10736676182.2,30.188767812800002,3099.4498207999995,5.2139942,84758192.4
15ms,416,103.37759999999999,3135310.124,157331.2,8159.4,2608.2,9532676326063.2,350184855446.2,6547021500169.4,1.9,3446413801325.6,483950098583.4,10719948185.4,30.3288105726,3133.8810518,7.7945856000000004,84722909.8
15ms,520,103.08160000000001,3145201.2959999996,159278.2,15124.6,2987.8,9558791094297.2,350982019513.2,6572971357514.6,1.904,3451076609594.2,486107789602.6,10713847273.8,30.5117789114,3144.25493,9.4779454,84670280.4
15ms,624,102.9648,3145858.892,157311.6,12742.6,3244.4,9558304936756.8,350888619117.2,6573676204356.6,1.902,3456151195663.2,487553757486.4,10724047382.6,30.5528758976,3144.3622388,11.508552199999999,84730898.2
15ms,728,103.131,3161140.736,160819.4,9529.8,3271.6,9602404600839.2,352515349199.8,6611266212844.0,1.9120000000000001,3460700370282.8,488660478435.4,10734501678.2,30.6517740378,3158.9471714,11.4864974,84272098.4
15ms,832,102.447,3170002.174,161489.0,9355.0,3529.2,9627838433120.4,353523402433.2,6627298844362.8,1.9099999999999997,3472242739455.0,490392243287.8,10774227710.2,30.9430987238,3167.6833447999998,30.1179214,85106431.2
15ms,936,102.83219999999999,3194108.0,3099848.4,163302.2,3571.8,9687667493705.6,399916473035.0,6546283154232.8,1.828,3581470632109.6,511202513165.6,11519189037.8,31.061634329999997,3077.4727114,137.2084186,85252602.6
15ms,1040,102.6076,3219008.084,2039473.2,190843.8,3420.0,9766505447521.6,383864604913.0,6463687140660.2,1.7,3808373486330.6,553144060820.6,12168186672.2,31.3720244632,3069.8746163999995,176.173064,89064188.2
15ms,1144,102.9896,3224730.48,9756466.6,811221.4,3671.6,9755399882560.0,457767197629.2,6254693427791.6,1.6320000000000001,3854481976473.8,587640569855.6,11943446824.8,31.3125072578,2758.8368754,484.61586980000004,81642851.6
